period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-11-20 10:00:00,NY,New York,WAT,Hydro,1725,megawatthours
2024-11-20 09:00:00,NY,New York,WAT,Hydro,1696,megawatthours
2024-11-20 08:00:00,NY,New York,WAT,Hydro,1636,megawatthours
2024-11-20 07:00:00,NY,New York,WAT,Hydro,1717,megawatthours
2024-11-20 06:00:00,NY,New York,WAT,Hydro,1776,megawatthours
2024-11-20 05:00:00,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-20 04:00:00,NY,New York,WAT,Hydro,2634,megawatthours
2024-11-20 03:00:00,NY,New York,WAT,Hydro,2970,megawatthours
2024-11-20 02:00:00,NY,New York,WAT,Hydro,3172,megawatthours
2024-11-20 01:00:00,NY,New York,WAT,Hydro,3136,megawatthours
2024-11-20 00:00:00,NY,New York,WAT,Hydro,3394,megawatthours
2024-11-19 23:00:00,NY,New York,WAT,Hydro,3452,megawatthours
2024-11-19 22:00:00,NY,New York,WAT,Hydro,3306,megawatthours
2024-11-19 21:00:00,NY,New York,WAT,Hydro,3077,megawatthours
2024-11-19 20:00:00,NY,New York,WAT,Hydro,3025,megawatthours
2024-11-19 19:00:00,NY,New York,WAT,Hydro,2743,megawatthours
2024-11-19 18:00:00,NY,New York,WAT,Hydro,2674,megawatthours
2024-11-19 17:00:00,NY,New York,WAT,Hydro,2653,megawatthours
2024-11-19 16:00:00,NY,New York,WAT,Hydro,2703,megawatthours
2024-11-19 15:00:00,NY,New York,WAT,Hydro,2644,megawatthours
2024-11-19 14:00:00,NY,New York,WAT,Hydro,2693,megawatthours
2024-11-19 13:00:00,NY,New York,WAT,Hydro,2938,megawatthours
2024-11-19 12:00:00,NY,New York,WAT,Hydro,2300,megawatthours
2024-11-19 11:00:00,NY,New York,WAT,Hydro,2127,megawatthours
2024-11-19 10:00:00,NY,New York,WAT,Hydro,1890,megawatthours
2024-11-19 09:00:00,NY,New York,WAT,Hydro,1906,megawatthours
2024-11-19 08:00:00,NY,New York,WAT,Hydro,1899,megawatthours
2024-11-19 07:00:00,NY,New York,WAT,Hydro,2013,megawatthours
2024-11-19 06:00:00,NY,New York,WAT,Hydro,2042,megawatthours
2024-11-19 05:00:00,NY,New York,WAT,Hydro,1967,megawatthours
2024-11-19 04:00:00,NY,New York,WAT,Hydro,2645,megawatthours
2024-11-19 03:00:00,NY,New York,WAT,Hydro,2862,megawatthours
2024-11-19 02:00:00,NY,New York,WAT,Hydro,3122,megawatthours
2024-11-19 01:00:00,NY,New York,WAT,Hydro,3218,megawatthours
2024-11-19 00:00:00,NY,New York,WAT,Hydro,3503,megawatthours
2024-11-18 23:00:00,NY,New York,WAT,Hydro,3762,megawatthours
2024-11-18 22:00:00,NY,New York,WAT,Hydro,3200,megawatthours
2024-11-18 21:00:00,NY,New York,WAT,Hydro,2912,megawatthours
2024-11-18 20:00:00,NY,New York,WAT,Hydro,2846,megawatthours
2024-11-18 19:00:00,NY,New York,WAT,Hydro,2770,megawatthours
2024-11-18 18:00:00,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-18 17:00:00,NY,New York,WAT,Hydro,2755,megawatthours
2024-11-18 16:00:00,NY,New York,WAT,Hydro,2815,megawatthours
2024-11-18 15:00:00,NY,New York,WAT,Hydro,3047,megawatthours
2024-11-18 14:00:00,NY,New York,WAT,Hydro,2990,megawatthours
2024-11-18 13:00:00,NY,New York,WAT,Hydro,3054,megawatthours
2024-11-18 12:00:00,NY,New York,WAT,Hydro,2488,megawatthours
2024-11-18 11:00:00,NY,New York,WAT,Hydro,1935,megawatthours
2024-11-18 10:00:00,NY,New York,WAT,Hydro,1771,megawatthours
2024-11-18 09:00:00,NY,New York,WAT,Hydro,1652,megawatthours
2024-11-18 08:00:00,NY,New York,WAT,Hydro,1789,megawatthours
2024-11-18 07:00:00,NY,New York,WAT,Hydro,1845,megawatthours
2024-11-18 06:00:00,NY,New York,WAT,Hydro,1844,megawatthours
2024-11-18 05:00:00,NY,New York,WAT,Hydro,1903,megawatthours
2024-11-18 04:00:00,NY,New York,WAT,Hydro,2669,megawatthours
2024-11-18 03:00:00,NY,New York,WAT,Hydro,2910,megawatthours
2024-11-18 02:00:00,NY,New York,WAT,Hydro,2987,megawatthours
2024-11-18 01:00:00,NY,New York,WAT,Hydro,3033,megawatthours
2024-11-18 00:00:00,NY,New York,WAT,Hydro,3192,megawatthours
2024-11-17 23:00:00,NY,New York,WAT,Hydro,3242,megawatthours
2024-11-17 22:00:00,NY,New York,WAT,Hydro,3077,megawatthours
2024-11-17 21:00:00,NY,New York,WAT,Hydro,2807,megawatthours
2024-11-17 20:00:00,NY,New York,WAT,Hydro,2684,megawatthours
2024-11-17 19:00:00,NY,New York,WAT,Hydro,2502,megawatthours
2024-11-17 18:00:00,NY,New York,WAT,Hydro,2474,megawatthours
2024-11-17 17:00:00,NY,New York,WAT,Hydro,2449,megawatthours
2024-11-17 16:00:00,NY,New York,WAT,Hydro,2493,megawatthours
2024-11-17 15:00:00,NY,New York,WAT,Hydro,2753,megawatthours
2024-11-17 14:00:00,NY,New York,WAT,Hydro,2693,megawatthours
2024-11-17 13:00:00,NY,New York,WAT,Hydro,2863,megawatthours
2024-11-17 12:00:00,NY,New York,WAT,Hydro,2190,megawatthours
2024-11-17 11:00:00,NY,New York,WAT,Hydro,1836,megawatthours
2024-11-17 10:00:00,NY,New York,WAT,Hydro,1839,megawatthours
2024-11-17 09:00:00,NY,New York,WAT,Hydro,1870,megawatthours
2024-11-17 08:00:00,NY,New York,WAT,Hydro,1836,megawatthours
2024-11-17 07:00:00,NY,New York,WAT,Hydro,1813,megawatthours
2024-11-17 06:00:00,NY,New York,WAT,Hydro,1893,megawatthours
2024-11-17 05:00:00,NY,New York,WAT,Hydro,1925,megawatthours
2024-11-17 04:00:00,NY,New York,WAT,Hydro,2711,megawatthours
2024-11-17 03:00:00,NY,New York,WAT,Hydro,2972,megawatthours
2024-11-17 02:00:00,NY,New York,WAT,Hydro,2998,megawatthours
2024-11-17 01:00:00,NY,New York,WAT,Hydro,3016,megawatthours
2024-11-17 00:00:00,NY,New York,WAT,Hydro,3131,megawatthours
2024-11-16 23:00:00,NY,New York,WAT,Hydro,3073,megawatthours
2024-11-16 22:00:00,NY,New York,WAT,Hydro,3049,megawatthours
2024-11-16 21:00:00,NY,New York,WAT,Hydro,2931,megawatthours
2024-11-16 20:00:00,NY,New York,WAT,Hydro,2767,megawatthours
2024-11-16 19:00:00,NY,New York,WAT,Hydro,2739,megawatthours
2024-11-16 18:00:00,NY,New York,WAT,Hydro,2785,megawatthours
2024-11-16 17:00:00,NY,New York,WAT,Hydro,2746,megawatthours
2024-11-16 16:00:00,NY,New York,WAT,Hydro,2647,megawatthours
2024-11-16 15:00:00,NY,New York,WAT,Hydro,2717,megawatthours
2024-11-16 14:00:00,NY,New York,WAT,Hydro,2673,megawatthours
2024-11-16 13:00:00,NY,New York,WAT,Hydro,2705,megawatthours
2024-11-16 12:00:00,NY,New York,WAT,Hydro,2264,megawatthours
2024-11-16 11:00:00,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-16 10:00:00,NY,New York,WAT,Hydro,1852,megawatthours
2024-11-16 09:00:00,NY,New York,WAT,Hydro,1794,megawatthours
2024-11-16 08:00:00,NY,New York,WAT,Hydro,1763,megawatthours
2024-11-16 07:00:00,NY,New York,WAT,Hydro,1797,megawatthours
2024-11-16 06:00:00,NY,New York,WAT,Hydro,1802,megawatthours
2024-11-16 05:00:00,NY,New York,WAT,Hydro,1988,megawatthours
2024-11-16 04:00:00,NY,New York,WAT,Hydro,2743,megawatthours
2024-11-16 03:00:00,NY,New York,WAT,Hydro,3048,megawatthours
2024-11-16 02:00:00,NY,New York,WAT,Hydro,3344,megawatthours
2024-11-16 01:00:00,NY,New York,WAT,Hydro,3535,megawatthours
2024-11-16 00:00:00,NY,New York,WAT,Hydro,3507,megawatthours
2024-11-15 23:00:00,NY,New York,WAT,Hydro,3659,megawatthours
2024-11-15 22:00:00,NY,New York,WAT,Hydro,3492,megawatthours
2024-11-15 21:00:00,NY,New York,WAT,Hydro,3189,megawatthours
2024-11-15 20:00:00,NY,New York,WAT,Hydro,2984,megawatthours
2024-11-15 19:00:00,NY,New York,WAT,Hydro,2849,megawatthours
2024-11-15 18:00:00,NY,New York,WAT,Hydro,2840,megawatthours
2024-11-15 17:00:00,NY,New York,WAT,Hydro,2848,megawatthours
2024-11-15 16:00:00,NY,New York,WAT,Hydro,2870,megawatthours
2024-11-15 15:00:00,NY,New York,WAT,Hydro,2984,megawatthours
2024-11-15 14:00:00,NY,New York,WAT,Hydro,3106,megawatthours
2024-11-15 13:00:00,NY,New York,WAT,Hydro,3284,megawatthours
2024-11-15 12:00:00,NY,New York,WAT,Hydro,2558,megawatthours
2024-11-15 11:00:00,NY,New York,WAT,Hydro,2295,megawatthours
2024-11-15 10:00:00,NY,New York,WAT,Hydro,2018,megawatthours
